number,name,status
PEP,– Python 3.10 Release Schedule,Active
PEP,– Notation For Positional-Only Parameters,Final
PEP,– API for Cryptographic Hash Functions v2.0,Final
PEP,– IDLE Enhancement Exception for All Branches,Active
PEP,– Python 3.12 Release Schedule,Active
PEP,– Literature Overview for Type Hints,Final
PEP,– Migrating to Python 3 as the default online documentation,Final
PEP,– Python 3.9 Release Schedule,Active
PEP,– PEP Infrastructure Process,Active
PEP,– Python Packaging Authority (PyPA) Governance,Active
PEP,– Using GitHub Issues for CPython,Accepted
PEP,– Python Language Governance,Active
PEP,– Backwards Compatibility Policy,Active
PEP,– Sample reStructuredText PEP Template,Active
PEP,– CPython platform support,Active
PEP,– Voting Guidelines,Active
PEP,– Style Guide for Python Code,Active
PEP,– Style Guide for C Code,Active
PEP,– Deprecation of Standard Modules,Active
PEP,– Procedure for Adding New Modules,Active
